,year,town,drivers_age,weight,power,car_age,claims
399883,2019.0,1.0,51.0,1090.0,84.0,1.0,1.0
634096,2018.0,1.0,33.0,1080.0,100.0,1.0,0.0
624405,2019.0,0.0,35.0,1090.0,63.0,0.0,0.0
861097,2019.0,1.0,51.0,1050.0,92.0,0.0,0.0
813582,2019.0,1.0,66.0,1840.0,257.0,10.0,0.0
358957,2019.0,1.0,29.0,1040.0,107.0,10.0,0.0
986734,2018.0,1.0,49.0,1190.0,139.0,1.0,0.0
828679,2019.0,1.0,63.0,1350.0,102.0,8.0,0.0
564344,2019.0,1.0,55.0,1100.0,116.0,8.0,0.0
477645,2019.0,1.0,29.0,2010.0,248.0,3.0,0.0
942622,2019.0,1.0,27.0,1510.0,215.0,3.0,0.0
388767,2018.0,0.0,42.0,1320.0,97.0,5.0,0.0
3755,2018.0,1.0,48.0,1680.0,183.0,7.0,0.0
89434,2018.0,0.0,43.0,1280.0,118.0,1.0,0.0
822666,2019.0,1.0,27.0,1160.0,80.0,0.0,0.0
360032,2019.0,1.0,49.0,1050.0,66.0,0.0,0.0
151097,2018.0,1.0,47.0,1160.0,66.0,5.0,0.0
225617,2019.0,1.0,43.0,970.0,56.0,1.0,0.0
614180,2019.0,1.0,39.0,1010.0,63.0,8.0,0.0
251902,2018.0,1.0,29.0,1230.0,83.0,4.0,0.0
393510,2019.0,1.0,73.0,1240.0,216.0,3.0,1.0
988204,2019.0,0.0,47.0,1030.0,126.0,1.0,0.0
176154,2018.0,1.0,28.0,1410.0,182.0,13.0,0.0
11857,2019.0,1.0,40.0,1180.0,110.0,0.0,0.0
256292,2019.0,0.0,37.0,1310.0,77.0,8.0,0.0
957187,2018.0,-0.0,54.0,1130.0,92.0,1.0,0.0
99145,2018.0,1.0,80.0,1070.0,65.0,16.0,1.0
668598,2018.0,1.0,38.0,1130.0,109.0,11.0,0.0
684005,2019.0,1.0,47.0,1170.0,113.0,3.0,0.0
254396,2019.0,0.0,56.0,960.0,60.0,15.0,0.0
417765,2019.0,1.0,41.0,1220.0,115.0,5.0,0.0
654004,2018.0,1.0,28.0,1200.0,172.0,2.0,0.0
385732,2019.0,1.0,43.0,1550.0,184.0,2.0,0.0
479670,2019.0,1.0,63.0,1380.0,100.0,2.0,0.0
46868,2019.0,0.0,44.0,1810.0,125.0,4.0,0.0
327443,2018.0,0.0,30.0,1440.0,108.0,0.0,0.0
369323,2019.0,0.0,57.0,1030.0,85.0,8.0,0.0
59933,2018.0,0.0,57.0,980.0,55.0,2.0,0.0
131719,2018.0,1.0,43.0,1580.0,135.0,1.0,0.0
802825,2019.0,1.0,55.0,1390.0,134.0,4.0,0.0
