,year,town,drivers_age,weight,power,car_age,claims
890755,2019.0,1.0,34.0,1670.0,186.0,4.0,0.0
981868,2018.0,0.0,53.0,1260.0,102.0,4.0,0.0
269274,2019.0,0.0,49.0,1530.0,147.0,14.0,0.0
923407,2018.0,1.0,43.0,1810.0,88.0,0.0,0.0
841774,2019.0,0.0,44.0,1050.0,99.0,9.0,0.0
659469,2018.0,-0.0,40.0,1060.0,55.0,0.0,0.0
972005,2019.0,1.0,38.0,1250.0,145.0,0.0,0.0
784454,2019.0,1.0,38.0,1150.0,111.0,9.0,0.0
134952,2019.0,1.0,37.0,1270.0,188.0,4.0,1.0
271548,2019.0,0.0,68.0,1160.0,133.0,0.0,0.0
692879,2018.0,0.0,51.0,1250.0,89.0,6.0,0.0
568594,2018.0,1.0,47.0,1210.0,135.0,8.0,0.0
272578,2018.0,0.0,50.0,1060.0,119.0,0.0,0.0
256704,2018.0,1.0,53.0,1510.0,125.0,3.0,0.0
421458,2018.0,1.0,60.0,1200.0,61.0,0.0,0.0
423621,2018.0,0.0,57.0,1360.0,163.0,6.0,0.0
681918,2018.0,1.0,53.0,1220.0,161.0,11.0,0.0
328179,2019.0,1.0,63.0,990.0,67.0,5.0,0.0
280272,2019.0,-0.0,56.0,2030.0,181.0,1.0,0.0
769478,2018.0,0.0,34.0,1780.0,198.0,1.0,0.0
139257,2018.0,-0.0,39.0,1170.0,110.0,4.0,0.0
565536,2018.0,-0.0,57.0,1460.0,193.0,3.0,0.0
864091,2019.0,1.0,63.0,1000.0,55.0,2.0,0.0
906317,2019.0,0.0,50.0,1150.0,69.0,6.0,0.0
790761,2019.0,1.0,57.0,1700.0,142.0,2.0,0.0
948267,2018.0,1.0,22.0,1080.0,153.0,2.0,1.0
589569,2018.0,1.0,59.0,1210.0,68.0,7.0,0.0
205992,2019.0,1.0,54.0,1080.0,97.0,4.0,1.0
426013,2019.0,0.0,61.0,1250.0,167.0,14.0,1.0
446544,2019.0,1.0,40.0,1090.0,121.0,6.0,0.0
514858,2018.0,0.0,39.0,970.0,104.0,4.0,0.0
348381,2019.0,1.0,28.0,1190.0,141.0,3.0,0.0
903537,2019.0,1.0,35.0,1490.0,58.0,1.0,0.0
133418,2019.0,0.0,57.0,1030.0,63.0,2.0,0.0
932482,2019.0,1.0,52.0,1340.0,225.0,8.0,0.0
225432,2019.0,1.0,25.0,1280.0,196.0,6.0,0.0
349657,2019.0,-0.0,32.0,980.0,75.0,0.0,0.0
416891,2019.0,1.0,36.0,1560.0,91.0,0.0,0.0
298478,2019.0,-0.0,28.0,1330.0,87.0,1.0,0.0
772339,2018.0,-0.0,48.0,1420.0,133.0,1.0,0.0
753716,2019.0,-0.0,46.0,1020.0,64.0,1.0,0.0
623225,2019.0,1.0,54.0,1090.0,121.0,3.0,0.0
738248,2018.0,-0.0,34.0,1500.0,117.0,6.0,0.0
247342,2019.0,1.0,39.0,980.0,93.0,1.0,1.0
282986,2018.0,1.0,52.0,1510.0,250.0,2.0,0.0
394450,2019.0,1.0,31.0,960.0,61.0,2.0,0.0
145994,2019.0,-0.0,55.0,1280.0,149.0,6.0,0.0
398183,2019.0,0.0,66.0,1000.0,78.0,3.0,0.0
504467,2018.0,1.0,53.0,1700.0,216.0,3.0,0.0
477273,2018.0,1.0,43.0,1890.0,193.0,1.0,0.0
933815,2018.0,0.0,40.0,1120.0,109.0,0.0,0.0
648764,2018.0,1.0,26.0,960.0,52.0,2.0,0.0
667850,2019.0,1.0,39.0,1120.0,71.0,0.0,0.0
356271,2018.0,1.0,65.0,1570.0,144.0,1.0,0.0
84017,2018.0,0.0,65.0,1020.0,117.0,7.0,0.0
145474,2018.0,1.0,39.0,1180.0,123.0,8.0,0.0
689788,2019.0,1.0,73.0,980.0,114.0,2.0,0.0
2485,2018.0,0.0,31.0,1140.0,84.0,3.0,0.0
728698,2019.0,1.0,35.0,1040.0,103.0,4.0,0.0
184294,2019.0,1.0,46.0,1680.0,178.0,5.0,0.0
770822,2018.0,-0.0,61.0,2520.0,312.0,3.0,0.0
490199,2018.0,0.0,50.0,1410.0,231.0,6.0,1.0
531767,2019.0,1.0,21.0,1540.0,118.0,2.0,0.0
789785,2018.0,1.0,30.0,1370.0,127.0,2.0,0.0
623641,2018.0,0.0,43.0,1660.0,88.0,0.0,0.0
823,2018.0,0.0,42.0,1110.0,79.0,2.0,0.0
692944,2019.0,1.0,50.0,1250.0,145.0,6.0,0.0
140893,2019.0,0.0,37.0,1560.0,160.0,7.0,1.0
940989,2018.0,1.0,48.0,1050.0,81.0,7.0,0.0
921751,2018.0,0.0,47.0,1100.0,132.0,1.0,0.0
723586,2018.0,1.0,31.0,1330.0,101.0,1.0,0.0
706606,2019.0,-0.0,30.0,980.0,103.0,4.0,1.0
927007,2019.0,-0.0,60.0,1580.0,156.0,7.0,0.0
171185,2019.0,1.0,61.0,1440.0,157.0,4.0,0.0
430285,2019.0,-0.0,37.0,1170.0,104.0,2.0,0.0
787623,2018.0,1.0,24.0,1060.0,131.0,1.0,0.0
406853,2019.0,1.0,32.0,1680.0,94.0,3.0,0.0
122380,2018.0,-0.0,31.0,1150.0,81.0,7.0,0.0
65108,2018.0,1.0,40.0,1280.0,98.0,2.0,0.0
142899,2019.0,0.0,31.0,1240.0,116.0,2.0,0.0
259833,2019.0,1.0,39.0,960.0,52.0,1.0,0.0
322280,2019.0,1.0,39.0,990.0,60.0,2.0,0.0
49805,2018.0,1.0,61.0,1760.0,118.0,5.0,0.0
531223,2019.0,1.0,46.0,970.0,70.0,2.0,0.0
590248,2018.0,1.0,54.0,1010.0,90.0,2.0,0.0
918912,2018.0,0.0,76.0,1250.0,152.0,2.0,0.0
759545,2018.0,0.0,26.0,1380.0,196.0,1.0,1.0
706329,2018.0,1.0,40.0,1360.0,115.0,7.0,0.0
329510,2019.0,0.0,39.0,990.0,106.0,7.0,0.0
82834,2019.0,-0.0,54.0,1450.0,90.0,1.0,0.0
478216,2018.0,1.0,42.0,1340.0,90.0,2.0,0.0
805200,2018.0,-0.0,22.0,1320.0,156.0,7.0,0.0
41752,2019.0,0.0,35.0,1580.0,145.0,5.0,0.0
693234,2019.0,1.0,57.0,1320.0,122.0,5.0,0.0
824975,2019.0,-0.0,76.0,1040.0,99.0,4.0,0.0
103609,2018.0,1.0,40.0,1200.0,133.0,9.0,0.0
220717,2019.0,1.0,29.0,1230.0,86.0,0.0,0.0
478898,2019.0,1.0,25.0,1370.0,89.0,2.0,0.0
855327,2019.0,1.0,54.0,980.0,96.0,5.0,0.0
247091,2019.0,1.0,61.0,1600.0,130.0,2.0,0.0
523354,2019.0,0.0,55.0,1110.0,78.0,5.0,0.0
825663,2018.0,1.0,35.0,1650.0,208.0,10.0,0.0
827099,2018.0,1.0,65.0,1660.0,221.0,3.0,0.0
209555,2019.0,0.0,39.0,1090.0,141.0,1.0,0.0
271642,2019.0,0.0,30.0,1500.0,115.0,5.0,0.0
809574,2019.0,1.0,25.0,1340.0,149.0,2.0,0.0
957004,2019.0,0.0,60.0,1170.0,198.0,12.0,0.0
365472,2018.0,0.0,59.0,1290.0,189.0,1.0,0.0
425535,2018.0,1.0,25.0,1740.0,171.0,2.0,0.0
536997,2018.0,0.0,31.0,2220.0,127.0,1.0,0.0
343735,2019.0,0.0,54.0,1380.0,222.0,6.0,0.0
353111,2019.0,0.0,50.0,1040.0,83.0,6.0,0.0
580750,2019.0,0.0,38.0,1130.0,141.0,1.0,0.0
361051,2019.0,1.0,54.0,1860.0,200.0,2.0,0.0
402325,2019.0,-0.0,55.0,1140.0,67.0,4.0,0.0
926247,2019.0,0.0,61.0,1030.0,127.0,14.0,0.0
609102,2018.0,0.0,27.0,1850.0,155.0,1.0,0.0
336393,2019.0,0.0,32.0,1380.0,109.0,1.0,1.0
644983,2019.0,0.0,38.0,1200.0,68.0,2.0,0.0
512289,2018.0,1.0,32.0,1260.0,100.0,4.0,0.0
182384,2018.0,1.0,50.0,1100.0,93.0,4.0,0.0
195253,2018.0,1.0,26.0,1050.0,56.0,2.0,0.0
484227,2018.0,0.0,66.0,1100.0,86.0,11.0,1.0
566207,2019.0,0.0,42.0,1480.0,151.0,2.0,0.0
646824,2018.0,1.0,46.0,1100.0,127.0,2.0,0.0
797161,2019.0,1.0,34.0,2550.0,303.0,12.0,0.0
252894,2019.0,0.0,40.0,1340.0,100.0,2.0,0.0
319610,2018.0,1.0,57.0,1410.0,151.0,1.0,0.0
234363,2019.0,1.0,36.0,1140.0,117.0,1.0,0.0
751634,2019.0,0.0,59.0,1250.0,171.0,2.0,0.0
872968,2018.0,0.0,37.0,1130.0,60.0,5.0,0.0
860999,2018.0,1.0,63.0,1010.0,74.0,3.0,1.0
566819,2019.0,0.0,48.0,1230.0,84.0,9.0,0.0
172497,2019.0,1.0,45.0,1600.0,114.0,4.0,0.0
327233,2019.0,1.0,36.0,1760.0,189.0,9.0,0.0
928078,2018.0,1.0,26.0,1020.0,51.0,2.0,0.0
105659,2018.0,1.0,36.0,1550.0,211.0,2.0,0.0
974149,2018.0,1.0,57.0,1100.0,76.0,2.0,0.0
585288,2018.0,1.0,62.0,1480.0,184.0,6.0,0.0
889155,2018.0,1.0,62.0,1120.0,135.0,1.0,0.0
139929,2018.0,-0.0,39.0,1040.0,60.0,5.0,0.0
858166,2019.0,1.0,80.0,1480.0,146.0,11.0,0.0
163665,2019.0,1.0,61.0,1730.0,164.0,6.0,0.0
244368,2019.0,0.0,35.0,1240.0,129.0,4.0,0.0
669344,2019.0,1.0,40.0,1150.0,166.0,13.0,0.0
609755,2019.0,1.0,29.0,1300.0,87.0,3.0,0.0
630583,2018.0,1.0,36.0,1550.0,132.0,3.0,0.0
246657,2019.0,-0.0,53.0,1230.0,139.0,6.0,0.0
169532,2019.0,1.0,53.0,990.0,73.0,4.0,0.0
361116,2019.0,1.0,37.0,1180.0,113.0,2.0,0.0
53930,2019.0,-0.0,34.0,1250.0,144.0,3.0,1.0
881196,2019.0,1.0,46.0,1530.0,250.0,2.0,0.0
846832,2018.0,0.0,35.0,1020.0,191.0,2.0,0.0
785983,2018.0,0.0,48.0,1600.0,229.0,11.0,0.0
824373,2019.0,1.0,61.0,2050.0,137.0,4.0,0.0
376449,2019.0,1.0,42.0,1250.0,78.0,5.0,0.0
449765,2018.0,0.0,44.0,1040.0,110.0,2.0,0.0
504246,2019.0,1.0,45.0,2300.0,207.0,0.0,0.0
91444,2018.0,1.0,49.0,1260.0,217.0,1.0,0.0
444328,2019.0,0.0,68.0,1350.0,130.0,11.0,0.0
693785,2019.0,0.0,72.0,1060.0,103.0,2.0,0.0
495593,2019.0,1.0,19.0,980.0,86.0,1.0,0.0
231329,2019.0,1.0,47.0,1060.0,108.0,7.0,0.0
893227,2018.0,1.0,24.0,2030.0,200.0,0.0,1.0
971822,2019.0,1.0,58.0,1170.0,91.0,5.0,0.0
763386,2019.0,1.0,54.0,1610.0,101.0,2.0,0.0
741078,2018.0,1.0,38.0,1040.0,93.0,10.0,2.0
539851,2019.0,0.0,61.0,1320.0,148.0,4.0,0.0
922118,2019.0,0.0,51.0,1610.0,134.0,3.0,0.0
628772,2018.0,1.0,31.0,1240.0,157.0,4.0,0.0
127148,2018.0,0.0,36.0,1350.0,105.0,0.0,0.0
592043,2018.0,1.0,82.0,2010.0,253.0,9.0,0.0
461075,2019.0,1.0,53.0,1270.0,154.0,6.0,0.0
992516,2018.0,1.0,49.0,1390.0,139.0,6.0,0.0
355058,2018.0,0.0,35.0,1080.0,74.0,2.0,0.0
173386,2019.0,-0.0,45.0,2080.0,157.0,5.0,0.0
627172,2019.0,1.0,63.0,1270.0,118.0,6.0,0.0
761319,2019.0,1.0,43.0,1260.0,88.0,2.0,0.0
897399,2019.0,0.0,82.0,1520.0,222.0,0.0,0.0
48544,2019.0,1.0,48.0,1060.0,94.0,3.0,0.0
677349,2018.0,0.0,48.0,980.0,56.0,16.0,0.0
764652,2018.0,1.0,55.0,1100.0,78.0,1.0,0.0
707195,2018.0,1.0,38.0,950.0,61.0,3.0,0.0
811416,2018.0,0.0,43.0,1030.0,96.0,1.0,0.0
702873,2019.0,-0.0,31.0,1030.0,78.0,5.0,0.0
664747,2019.0,0.0,45.0,1090.0,85.0,0.0,0.0
778488,2019.0,1.0,26.0,1310.0,139.0,1.0,0.0
731756,2019.0,0.0,37.0,1380.0,92.0,7.0,0.0
950530,2018.0,1.0,33.0,1020.0,92.0,4.0,0.0
339465,2018.0,-0.0,71.0,1270.0,67.0,6.0,0.0
86789,2018.0,1.0,27.0,1040.0,129.0,2.0,0.0
92756,2019.0,0.0,77.0,1170.0,90.0,8.0,0.0
627467,2019.0,1.0,27.0,1130.0,92.0,6.0,0.0
451467,2018.0,-0.0,57.0,1980.0,138.0,8.0,0.0
71035,2018.0,1.0,61.0,1400.0,114.0,0.0,0.0
876281,2019.0,0.0,42.0,970.0,80.0,2.0,0.0
558629,2018.0,1.0,71.0,1690.0,150.0,7.0,0.0
494626,2018.0,-0.0,71.0,1170.0,82.0,5.0,0.0
676843,2019.0,0.0,58.0,980.0,60.0,0.0,1.0
335217,2018.0,1.0,45.0,1520.0,165.0,0.0,0.0
615202,2019.0,0.0,43.0,1120.0,62.0,3.0,0.0
386827,2019.0,1.0,20.0,1050.0,125.0,0.0,0.0
484156,2018.0,0.0,37.0,1160.0,166.0,5.0,0.0
615903,2019.0,1.0,52.0,1950.0,231.0,3.0,2.0
671988,2019.0,1.0,34.0,1050.0,94.0,3.0,0.0
296582,2018.0,1.0,47.0,1030.0,142.0,1.0,0.0
879609,2019.0,1.0,45.0,1060.0,180.0,1.0,0.0
240234,2019.0,1.0,46.0,1200.0,100.0,3.0,0.0
484233,2019.0,1.0,40.0,1180.0,87.0,1.0,1.0
829039,2019.0,-0.0,57.0,1040.0,84.0,6.0,2.0
269169,2018.0,1.0,69.0,1770.0,167.0,3.0,0.0
731186,2019.0,1.0,77.0,1050.0,138.0,1.0,0.0
633607,2019.0,-0.0,74.0,1660.0,238.0,4.0,0.0
514669,2019.0,0.0,57.0,1160.0,179.0,5.0,0.0
823308,2019.0,1.0,64.0,1490.0,139.0,13.0,0.0
505085,2019.0,1.0,54.0,1000.0,63.0,2.0,0.0
717068,2019.0,-0.0,60.0,1300.0,171.0,3.0,0.0
965370,2018.0,0.0,29.0,1180.0,106.0,2.0,0.0
876827,2019.0,1.0,25.0,1250.0,78.0,0.0,0.0
97566,2019.0,1.0,34.0,1020.0,66.0,3.0,0.0
685240,2018.0,1.0,23.0,1750.0,139.0,0.0,0.0
116887,2018.0,1.0,25.0,1080.0,74.0,1.0,0.0
89820,2019.0,1.0,57.0,1530.0,141.0,1.0,0.0
857621,2018.0,1.0,52.0,1020.0,90.0,2.0,1.0
164090,2019.0,1.0,49.0,1150.0,128.0,10.0,0.0
930514,2019.0,1.0,43.0,1770.0,130.0,8.0,1.0
752800,2019.0,1.0,36.0,1360.0,135.0,1.0,0.0
874926,2018.0,0.0,26.0,1090.0,118.0,0.0,0.0
160687,2018.0,1.0,49.0,980.0,83.0,2.0,0.0
787555,2018.0,-0.0,29.0,1660.0,160.0,2.0,0.0
760228,2018.0,0.0,30.0,1260.0,158.0,0.0,0.0
256408,2019.0,1.0,37.0,1020.0,94.0,9.0,0.0
829505,2019.0,0.0,45.0,1130.0,71.0,0.0,0.0
944943,2018.0,0.0,53.0,2010.0,213.0,2.0,1.0
248211,2019.0,1.0,62.0,1340.0,90.0,10.0,0.0
332768,2019.0,-0.0,65.0,1070.0,122.0,4.0,1.0
8934,2019.0,1.0,36.0,1470.0,155.0,0.0,0.0
135995,2018.0,1.0,43.0,1020.0,66.0,2.0,0.0
432008,2019.0,-0.0,46.0,1260.0,85.0,1.0,0.0
437469,2019.0,1.0,25.0,1530.0,169.0,2.0,0.0
427439,2018.0,1.0,60.0,1210.0,132.0,5.0,0.0
645183,2018.0,1.0,31.0,1110.0,60.0,4.0,0.0
501638,2019.0,1.0,37.0,1320.0,123.0,1.0,1.0
552518,2018.0,1.0,55.0,1090.0,95.0,4.0,0.0
435206,2019.0,1.0,20.0,980.0,72.0,1.0,0.0
868344,2019.0,1.0,38.0,1740.0,206.0,2.0,0.0
620170,2018.0,0.0,68.0,1960.0,162.0,5.0,0.0
121549,2018.0,1.0,30.0,1060.0,89.0,1.0,0.0
406133,2018.0,1.0,28.0,1250.0,126.0,2.0,0.0
866652,2018.0,-0.0,55.0,1170.0,189.0,9.0,0.0
904104,2019.0,1.0,63.0,1050.0,72.0,15.0,0.0
168918,2018.0,0.0,53.0,980.0,78.0,2.0,0.0
237664,2019.0,0.0,49.0,1680.0,214.0,0.0,0.0
8656,2018.0,1.0,76.0,1780.0,199.0,6.0,0.0
930215,2018.0,1.0,36.0,1140.0,82.0,0.0,0.0
549995,2018.0,1.0,42.0,1780.0,147.0,0.0,0.0
928492,2019.0,1.0,31.0,1690.0,135.0,1.0,0.0
560515,2018.0,0.0,27.0,960.0,80.0,7.0,0.0
868402,2018.0,1.0,43.0,1340.0,132.0,4.0,0.0
450551,2018.0,1.0,46.0,1260.0,118.0,2.0,0.0
312464,2018.0,1.0,46.0,1300.0,202.0,7.0,0.0
670354,2018.0,1.0,23.0,1830.0,180.0,0.0,0.0
180339,2019.0,1.0,44.0,1850.0,183.0,8.0,0.0
338344,2018.0,1.0,64.0,1450.0,166.0,2.0,0.0
65579,2019.0,1.0,42.0,1520.0,114.0,2.0,0.0
160694,2019.0,1.0,56.0,1020.0,93.0,5.0,0.0
358612,2019.0,1.0,45.0,1430.0,123.0,1.0,0.0
443589,2019.0,1.0,46.0,1130.0,60.0,6.0,0.0
756619,2019.0,0.0,51.0,1360.0,116.0,3.0,0.0
160171,2018.0,1.0,57.0,1070.0,65.0,11.0,0.0
195216,2018.0,1.0,45.0,1090.0,84.0,3.0,0.0
831099,2019.0,0.0,53.0,1340.0,101.0,7.0,0.0
314152,2019.0,0.0,58.0,1400.0,218.0,4.0,0.0
722979,2018.0,1.0,50.0,1520.0,96.0,4.0,0.0
934627,2019.0,1.0,48.0,1750.0,181.0,0.0,0.0
877851,2018.0,1.0,60.0,1200.0,165.0,0.0,0.0
55243,2018.0,1.0,56.0,1420.0,156.0,16.0,0.0
878476,2018.0,1.0,51.0,1200.0,163.0,4.0,1.0
852770,2018.0,1.0,21.0,1140.0,84.0,2.0,0.0
13091,2018.0,1.0,27.0,1170.0,125.0,2.0,0.0
757912,2018.0,1.0,59.0,1580.0,208.0,6.0,0.0
526242,2019.0,1.0,39.0,1170.0,223.0,3.0,0.0
818101,2018.0,1.0,43.0,1360.0,157.0,8.0,0.0
648377,2018.0,1.0,45.0,1050.0,83.0,3.0,0.0
679680,2018.0,1.0,49.0,1670.0,214.0,7.0,0.0
481714,2019.0,1.0,49.0,1300.0,187.0,1.0,0.0
128302,2019.0,1.0,53.0,1130.0,67.0,4.0,0.0
514211,2019.0,1.0,48.0,1080.0,97.0,2.0,0.0
535648,2018.0,0.0,32.0,1140.0,80.0,1.0,0.0
155985,2019.0,1.0,58.0,1320.0,96.0,2.0,0.0
700507,2019.0,1.0,53.0,1460.0,175.0,5.0,0.0
501368,2019.0,-0.0,84.0,1020.0,94.0,9.0,0.0
571638,2018.0,1.0,24.0,1790.0,180.0,1.0,0.0
190747,2019.0,1.0,26.0,1490.0,131.0,4.0,0.0
565559,2018.0,1.0,56.0,950.0,64.0,14.0,0.0
375597,2018.0,1.0,62.0,970.0,67.0,2.0,0.0
