,diames,diasemana,mestexto,año,valor
1999-01-04,4,lunes,enero,1999,10447.8
1999-01-05,5,martes,enero,1999,10650.7
1999-01-07,7,jueves,enero,1999,10443.4
1999-01-08,8,viernes,enero,1999,10412.3
1999-01-09,11,lunes,enero,1999,10248.6
1999-01-10,12,martes,enero,1999,10010.5
1999-01-11,13,miércoles,enero,1999,9321.7
1999-01-12,14,jueves,enero,1999,9304.2
1999-01-13,15,viernes,enero,1999,9596.3
1999-01-14,18,lunes,enero,1999,10071.5
1999-01-15,19,martes,enero,1999,9971.7
1999-01-16,20,miércoles,enero,1999,10090.1
1999-01-17,21,jueves,enero,1999,9920.8
1999-01-18,22,viernes,enero,1999,9612.0
1999-01-19,25,lunes,enero,1999,9665.6
1999-01-20,26,martes,enero,1999,9589.6
1999-01-21,27,miércoles,enero,1999,9609.5
1999-01-22,28,jueves,enero,1999,9832.2
1999-01-23,29,viernes,enero,1999,9878.8
1999-01-24,1,lunes,febrero,1999,9998.2
1999-01-25,2,martes,febrero,1999,9943.6
1999-01-26,3,miércoles,febrero,1999,9944.2
1999-01-27,4,jueves,febrero,1999,9855.4
1999-01-28,5,viernes,febrero,1999,9809.3
1999-01-29,8,lunes,febrero,1999,9648.8
1999-01-30,9,martes,febrero,1999,9500.0
1999-01-31,10,miércoles,febrero,1999,9656.7
1999-02-01,11,jueves,febrero,1999,9690.5
1999-02-02,12,viernes,febrero,1999,9739.4
1999-02-03,15,lunes,febrero,1999,9901.1
1999-02-04,16,martes,febrero,1999,9799.3
1999-02-05,17,miércoles,febrero,1999,9797.9
1999-02-06,18,jueves,febrero,1999,9758.7
1999-02-07,19,viernes,febrero,1999,9840.9
1999-02-08,22,lunes,febrero,1999,9945.2
1999-02-09,23,martes,febrero,1999,10133.8
1999-02-10,24,miércoles,febrero,1999,10224.6
1999-02-11,25,jueves,febrero,1999,10052.1
1999-02-12,26,viernes,febrero,1999,9997.3
1999-02-13,1,lunes,marzo,1999,9838.9
1999-02-14,2,martes,marzo,1999,9823.0
1999-02-15,3,miércoles,marzo,1999,9707.6
1999-02-16,4,jueves,marzo,1999,9834.3
1999-02-17,5,viernes,marzo,1999,10005.0
1999-02-18,8,lunes,marzo,1999,9861.4
1999-02-19,9,martes,marzo,1999,9915.3
1999-02-20,10,miércoles,marzo,1999,9940.1
1999-02-21,11,jueves,marzo,1999,10191.6
1999-02-22,12,viernes,marzo,1999,10094.7
1999-02-23,15,lunes,marzo,1999,10121.0
1999-02-24,16,martes,marzo,1999,10213.9
1999-02-25,17,miércoles,marzo,1999,10119.1
1999-02-26,18,jueves,marzo,1999,10039.7
1999-02-27,19,viernes,marzo,1999,10073.7
1999-02-28,22,lunes,marzo,1999,9955.1
1999-03-01,23,martes,marzo,1999,9728.4
1999-03-02,24,miércoles,marzo,1999,9720.7
1999-03-03,25,jueves,marzo,1999,9868.3
1999-03-04,26,viernes,marzo,1999,9659.1
1999-03-05,29,lunes,marzo,1999,9748.1
1999-03-06,30,martes,marzo,1999,9677.0
1999-03-07,31,miércoles,marzo,1999,9740.7
1999-03-11,6,martes,abril,1999,10011.3
1999-03-12,7,miércoles,abril,1999,10027.7
1999-03-13,8,jueves,abril,1999,10100.6
1999-03-14,9,viernes,abril,1999,10101.9
1999-03-15,12,lunes,abril,1999,10039.2
1999-03-16,13,martes,abril,1999,10120.8
1999-03-17,14,miércoles,abril,1999,10080.4
1999-03-18,15,jueves,abril,1999,10000.0
1999-03-19,16,viernes,abril,1999,9777.3
1999-03-20,19,lunes,abril,1999,9851.7
1999-03-21,20,martes,abril,1999,9662.0
1999-03-22,21,miércoles,abril,1999,9771.1
1999-03-23,22,jueves,abril,1999,9794.8
1999-03-24,23,viernes,abril,1999,9901.6
1999-03-25,26,lunes,abril,1999,9907.2
1999-03-26,27,martes,abril,1999,10069.9
1999-03-27,28,miércoles,abril,1999,10010.4
1999-03-28,29,jueves,abril,1999,10007.6
1999-03-29,30,viernes,abril,1999,9975.4
1999-03-30,3,lunes,mayo,1999,10090.8
1999-03-31,4,martes,mayo,1999,10019.2
1999-04-01,5,miércoles,mayo,1999,10012.1
1999-04-02,6,jueves,mayo,1999,10073.0
1999-04-03,7,viernes,mayo,1999,10155.0
1999-04-04,10,lunes,mayo,1999,10172.7
1999-04-05,11,martes,mayo,1999,10167.1
1999-04-06,12,miércoles,mayo,1999,10184.7
1999-04-07,13,jueves,mayo,1999,10275.0
1999-04-08,14,viernes,mayo,1999,10167.2
1999-04-09,17,lunes,mayo,1999,9966.1
1999-04-10,18,martes,mayo,1999,9984.8
1999-04-11,19,miércoles,mayo,1999,10174.4
1999-04-12,20,jueves,mayo,1999,10151.2
1999-04-13,21,viernes,mayo,1999,10213.7
1999-04-14,24,lunes,mayo,1999,10170.4
1999-04-15,25,martes,mayo,1999,10141.0
1999-04-16,26,miércoles,mayo,1999,10097.7
1999-04-17,27,jueves,mayo,1999,9990.9
1999-04-18,28,viernes,mayo,1999,10030.6
1999-04-19,31,lunes,mayo,1999,10072.3
1999-04-20,1,martes,junio,1999,10056.9
1999-04-21,2,miércoles,junio,1999,10068.8
1999-04-22,3,jueves,junio,1999,10221.5
1999-04-23,4,viernes,junio,1999,10244.7
1999-04-24,7,lunes,junio,1999,10280.2
1999-04-25,8,martes,junio,1999,10221.8
1999-04-26,9,miércoles,junio,1999,10242.8
1999-04-27,10,jueves,junio,1999,10096.2
1999-04-28,11,viernes,junio,1999,10195.3
1999-04-29,14,lunes,junio,1999,10100.0
1999-04-30,15,martes,junio,1999,10179.7
1999-05-01,16,miércoles,junio,1999,10190.8
1999-05-02,17,jueves,junio,1999,10195.0
1999-05-03,18,viernes,junio,1999,10337.5
1999-05-04,21,lunes,junio,1999,10382.7
1999-05-05,22,martes,junio,1999,10387.7
1999-05-06,23,miércoles,junio,1999,10380.7
1999-05-07,24,jueves,junio,1999,10333.6
1999-05-08,25,viernes,junio,1999,10290.3
1999-05-09,28,lunes,junio,1999,10291.1
1999-05-10,29,martes,junio,1999,10299.6
1999-05-11,30,miércoles,junio,1999,10218.6
1999-05-12,1,jueves,julio,1999,10370.5
1999-05-13,2,viernes,julio,1999,10402.3
1999-05-14,5,lunes,julio,1999,10555.6
1999-05-15,6,martes,julio,1999,10474.4
1999-05-16,7,miércoles,julio,1999,10402.8
1999-05-17,8,jueves,julio,1999,10311.3
