FRECUENCIA;DIAMES;DIASEMANA;MESTEXTO;AÑO;VALOR
04 ENE 1999;4;lunes;enero;1999;10447,80
05 ENE 1999;5;martes;enero;1999;10650,70
06 ENE 1999;6;miércoles;enero;1999;-
07 ENE 1999;7;jueves;enero;1999;10443,40
08 ENE 1999;8;viernes;enero;1999;10412,30
11 ENE 1999;11;lunes;enero;1999;10248,60
12 ENE 1999;12;martes;enero;1999;10010,50
13 ENE 1999;13;miércoles;enero;1999;9321,70
14 ENE 1999;14;jueves;enero;1999;9304,20
15 ENE 1999;15;viernes;enero;1999;9596,30
18 ENE 1999;18;lunes;enero;1999;10071,50
19 ENE 1999;19;martes;enero;1999;9971,70
20 ENE 1999;20;miércoles;enero;1999;10090,10
21 ENE 1999;21;jueves;enero;1999;9920,80
22 ENE 1999;22;viernes;enero;1999;9612,00
25 ENE 1999;25;lunes;enero;1999;9665,60
26 ENE 1999;26;martes;enero;1999;9589,60
27 ENE 1999;27;miércoles;enero;1999;9609,50
28 ENE 1999;28;jueves;enero;1999;9832,20
29 ENE 1999;29;viernes;enero;1999;9878,80
01 FEB 1999;1;lunes;febrero;1999;9998,20
02 FEB 1999;2;martes;febrero;1999;9943,60
03 FEB 1999;3;miércoles;febrero;1999;9944,20
04 FEB 1999;4;jueves;febrero;1999;9855,40
05 FEB 1999;5;viernes;febrero;1999;9809,30
08 FEB 1999;8;lunes;febrero;1999;9648,80
09 FEB 1999;9;martes;febrero;1999;9500,00
10 FEB 1999;10;miércoles;febrero;1999;9656,70
11 FEB 1999;11;jueves;febrero;1999;9690,50
12 FEB 1999;12;viernes;febrero;1999;9739,40
15 FEB 1999;15;lunes;febrero;1999;9901,10
16 FEB 1999;16;martes;febrero;1999;9799,30
17 FEB 1999;17;miércoles;febrero;1999;9797,90
18 FEB 1999;18;jueves;febrero;1999;9758,70
19 FEB 1999;19;viernes;febrero;1999;9840,90
22 FEB 1999;22;lunes;febrero;1999;9945,20
23 FEB 1999;23;martes;febrero;1999;10133,80
24 FEB 1999;24;miércoles;febrero;1999;10224,60
25 FEB 1999;25;jueves;febrero;1999;10052,10
26 FEB 1999;26;viernes;febrero;1999;9997,30
01 MAR 1999;1;lunes;marzo;1999;9838,90
02 MAR 1999;2;martes;marzo;1999;9823,00
03 MAR 1999;3;miércoles;marzo;1999;9707,60
04 MAR 1999;4;jueves;marzo;1999;9834,30
05 MAR 1999;5;viernes;marzo;1999;10005,00
08 MAR 1999;8;lunes;marzo;1999;9861,40
09 MAR 1999;9;martes;marzo;1999;9915,30
10 MAR 1999;10;miércoles;marzo;1999;9940,10
11 MAR 1999;11;jueves;marzo;1999;10191,60
12 MAR 1999;12;viernes;marzo;1999;10094,70
15 MAR 1999;15;lunes;marzo;1999;10121,00
16 MAR 1999;16;martes;marzo;1999;10213,90
17 MAR 1999;17;miércoles;marzo;1999;10119,10
18 MAR 1999;18;jueves;marzo;1999;10039,70
19 MAR 1999;19;viernes;marzo;1999;10073,70
22 MAR 1999;22;lunes;marzo;1999;9955,10
23 MAR 1999;23;martes;marzo;1999;9728,40
24 MAR 1999;24;miércoles;marzo;1999;9720,70
25 MAR 1999;25;jueves;marzo;1999;9868,30
26 MAR 1999;26;viernes;marzo;1999;9659,10
29 MAR 1999;29;lunes;marzo;1999;9748,10
30 MAR 1999;30;martes;marzo;1999;9677,00
31 MAR 1999;31;miércoles;marzo;1999;9740,70
01 ABR 1999;1;jueves;abril;1999;-
02 ABR 1999;2;viernes;abril;1999;-
05 ABR 1999;5;lunes;abril;1999;-
06 ABR 1999;6;martes;abril;1999;10011,30
07 ABR 1999;7;miércoles;abril;1999;10027,70
08 ABR 1999;8;jueves;abril;1999;10100,60
09 ABR 1999;9;viernes;abril;1999;10101,90
12 ABR 1999;12;lunes;abril;1999;10039,20
13 ABR 1999;13;martes;abril;1999;10120,80
14 ABR 1999;14;miércoles;abril;1999;10080,40
15 ABR 1999;15;jueves;abril;1999;10000,00
16 ABR 1999;16;viernes;abril;1999;9777,30
19 ABR 1999;19;lunes;abril;1999;9851,70
20 ABR 1999;20;martes;abril;1999;9662,00
21 ABR 1999;21;miércoles;abril;1999;9771,10
22 ABR 1999;22;jueves;abril;1999;9794,80
23 ABR 1999;23;viernes;abril;1999;9901,60
26 ABR 1999;26;lunes;abril;1999;9907,20
27 ABR 1999;27;martes;abril;1999;10069,90
28 ABR 1999;28;miércoles;abril;1999;10010,40
29 ABR 1999;29;jueves;abril;1999;10007,60
30 ABR 1999;30;viernes;abril;1999;9975,40
03 MAY 1999;3;lunes;mayo;1999;10090,80
04 MAY 1999;4;martes;mayo;1999;10019,20
05 MAY 1999;5;miércoles;mayo;1999;10012,10
06 MAY 1999;6;jueves;mayo;1999;10073,00
07 MAY 1999;7;viernes;mayo;1999;10155,00
10 MAY 1999;10;lunes;mayo;1999;10172,70
11 MAY 1999;11;martes;mayo;1999;10167,10
12 MAY 1999;12;miércoles;mayo;1999;10184,70
13 MAY 1999;13;jueves;mayo;1999;10275,00
14 MAY 1999;14;viernes;mayo;1999;10167,20
17 MAY 1999;17;lunes;mayo;1999;9966,10
18 MAY 1999;18;martes;mayo;1999;9984,80
19 MAY 1999;19;miércoles;mayo;1999;10174,40
20 MAY 1999;20;jueves;mayo;1999;10151,20
21 MAY 1999;21;viernes;mayo;1999;10213,70
24 MAY 1999;24;lunes;mayo;1999;10170,40
25 MAY 1999;25;martes;mayo;1999;10141,00
26 MAY 1999;26;miércoles;mayo;1999;10097,70
27 MAY 1999;27;jueves;mayo;1999;9990,90
28 MAY 1999;28;viernes;mayo;1999;10030,60
31 MAY 1999;31;lunes;mayo;1999;10072,30
01 JUN 1999;1;martes;junio;1999;10056,90
